,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
3,1695094113352,1.271,0.0,0,0,COMMIT,107244,1695094113350.729
5,1695093317983,1.222,0.0,0,0,COMMIT,107246,1695093317981.778
8,1695093350388,1.146,0.0,0,0,COMMIT,107251,1695093350386.854
9,1695093368977,1.223,0.0,0,0,COMMIT,107253,1695093368975.777
10,1695093482835,1.304,0.0,0,0,COMMIT,107247,1695093482833.696
11,1695093572838,1.044,0.0,0,0,COMMIT,107250,1695093572836.956
12,1695093624158,1.145,0.0,0,0,COMMIT,107262,1695093624156.855
13,1695093705870,1.11,0.0,0,0,COMMIT,107261,1695093705868.89
14,1695093854390,1.112,0.0,0,0,COMMIT,107270,1695093854388.888
15,1695093901097,1.227,0.0,0,0,COMMIT,107265,1695093901095.773
16,1695093919496,1.017,0.0,0,0,COMMIT,107271,1695093919494.983
17,1695093983754,1.258,0.0,0,0,COMMIT,107274,1695093983752.742
18,1695094026158,1.032,0.0,0,0,COMMIT,107275,1695094026156.968
19,1695094107332,1.04,0.0,0,0,COMMIT,107273,1695094107330.96
20,1695094143112,1.155,0.106,1,442,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 7\
              AND OL_O_ID < 29095\
              AND OL_O_ID >= 29075\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 12",107281,1695094143110.845
21,1695094165992,1.493,0.0,0,0,COMMIT,107280,1695094165990.507
22,1695093187715,1.255,0.0,0,0,ROLLBACK,107277,1695093187713.745
23,1695093232605,1.169,0.0,0,0,COMMIT,107269,1695093232603.831
24,1695093253606,1.076,0.0,0,0,COMMIT,107286,1695093253604.924
25,1695093275062,1.183,0.0,0,0,COMMIT,107287,1695093275060.817
30,1695093340640,1.236,0.0,0,0,COMMIT,107283,1695093340638.764
32,1695093402201,1.148,0.0,0,0,COMMIT,107279,1695093402199.852
33,1695093466794,2.055,0.106,1,386,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 3\
              AND OL_O_ID < 29031\
              AND OL_O_ID >= 29011\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 18",107295,1695093466791.945
34,1695093469520,1.028,0.0,0,0,COMMIT,107285,1695093469518.972
35,1695093554161,1.083,0.0,0,0,COMMIT,107296,1695093554159.917
36,1695093595449,1.296,0.0,0,0,COMMIT,107297,1695093595447.704
37,1695093626420,1.855,0.093,1,434,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 5\
              AND OL_O_ID < 29065\
              AND OL_O_ID >= 29045\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 14",107300,1695093626418.145
38,1695093635784,1.033,0.0,0,0,COMMIT,107290,1695093635782.967
39,1695093673693,1.01,0.0,0,0,COMMIT,107291,1695093673691.99
40,1695093743528,2.694,0.062,1,1,"SELECT I_PRICE, I_NAME, I_DATA FROM item WHERE I_ID = 25599",107304,1695093743525.306
41,1695093766796,1.647,0.0,0,0,COMMIT,107299,1695093766794.353
42,1695093865815,1.031,0.0,0,0,COMMIT,107308,1695093865813.969
43,1695093872736,1.071,0.0,0,0,COMMIT,107302,1695093872734.929
44,1695093959424,1.016,0.0,0,0,COMMIT,107313,1695093959422.984
45,1695094021058,1.235,0.0,0,0,COMMIT,107316,1695094021056.765
46,1695094063113,1.078,0.0,0,0,COMMIT,107318,1695094063111.922
47,1695094079249,1.013,0.0,0,0,COMMIT,107307,1695094079247.987
48,1695094095069,1.18,0.0,0,0,COMMIT,107321,1695094095067.82
49,1695094150822,1.01,0.0,0,0,COMMIT,107319,1695094150820.99
50,1695094165857,1.932,0.0,0,0,COMMIT,107323,1695094165855.068
51,1695093210399,1.086,0.0,0,0,COMMIT,107324,1695093210397.914
52,1695093300110,1.587,0.0,0,0,COMMIT,107327,1695093300108.413
54,1695093311459,1.038,0.0,0,0,COMMIT,107328,1695093311457.962
57,1695093341665,1.862,0.084,1,424,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 1\
              AND OL_O_ID < 29244\
              AND OL_O_ID >= 29224\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 19",107331,1695093341663.138
59,1695093415612,1.286,0.0,0,0,COMMIT,107326,1695093415610.714
60,1695093423176,2.465,0.0,0,0,ROLLBACK,107329,1695093423173.535
61,1695093454964,1.297,0.0,0,0,COMMIT,107334,1695093454962.703
62,1695093576802,1.443,0.0,0,0,COMMIT,107332,1695093576800.557
63,1695093592696,1.008,0.0,0,0,COMMIT,107336,1695093592694.992
64,1695093628686,1.255,0.0,0,0,COMMIT,107340,1695093628684.745
65,1695093748995,1.28,0.0,0,0,COMMIT,107338,1695093748993.72
66,1695093786827,1.06,0.0,0,0,COMMIT,107342,1695093786825.94
67,1695093941044,1.051,0.0,0,0,COMMIT,107349,1695093941042.949
68,1695093985719,1.317,0.0,0,0,COMMIT,107354,1695093985717.683
69,1695094032101,1.066,0.0,0,0,COMMIT,107348,1695094032099.934
70,1695094032916,1.447,0.0,0,0,COMMIT,107356,1695094032914.553
71,1695094045858,1.033,0.0,0,0,COMMIT,107357,1695094045856.967
72,1695093235711,1.138,0.0,0,0,COMMIT,107355,1695093235709.862
73,1695093246096,1.207,0.0,0,0,COMMIT,107360,1695093246094.793
77,1695093334781,1.581,0.09,1,416,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 1\
              AND OL_O_ID < 29215\
              AND OL_O_ID >= 29195\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 14",107374,1695093334779.419
80,1695093385288,1.045,0.0,0,0,COMMIT,107375,1695093385286.955
81,1695093448511,1.023,0.0,0,0,COMMIT,107367,1695093448509.977
82,1695093502555,1.127,0.0,0,0,COMMIT,107370,1695093502553.873
83,1695093587223,1.055,0.0,0,0,COMMIT,107381,1695093587221.945
84,1695093705468,1.013,0.0,0,0,COMMIT,107384,1695093705466.987
85,1695093763933,1.292,0.0,0,0,COMMIT,107380,1695093763931.708
86,1695093778131,1.046,0.0,0,0,COMMIT,107386,1695093778129.954
87,1695093790496,1.554,0.147,0,0,"INSERT INTO order_line (OL_O_ID, OL_D_ID, OL_W_ID, OL_NUMBER, OL_I_ID, OL_SUPPLY_W_ID, OL_DELIVERY_D, OL_QUANTITY, OL_AMOUNT, OL_DIST_INFO) VALUES (29308, '08', 2, 12, 33776, 2, '2023-09-19 11:12:50.437017', 3, 126.75, 'HVY18YPYg8EgGUnYpthBnwmq')",107382,1695093790494.446
88,1695093875295,1.081,0.0,0,0,COMMIT,107389,1695093875293.919
89,1695094008034,1.168,0.0,0,0,COMMIT,107387,1695094008032.832
90,1695094099270,1.233,0.0,0,0,COMMIT,107395,1695094099268.767
91,1695093277758,1.107,0.0,0,0,COMMIT,107404,1695093277756.893
92,1695093291559,1.015,0.0,0,0,COMMIT,107406,1695093291557.985
96,1695093365310,1.092,0.0,0,0,COMMIT,107410,1695093365308.908
97,1695093388755,1.349,0.0,0,0,COMMIT,107405,1695093388753.651
98,1695093456532,2.363,0.0,0,0,COMMIT,107413,1695093456529.637
99,1695093527101,1.053,0.0,0,0,COMMIT,107415,1695093527099.947
100,1695093575102,1.104,0.0,0,0,COMMIT,107417,1695093575100.896
101,1695093575704,1.297,0.0,0,0,COMMIT,107414,1695093575702.703
102,1695093762609,1.031,0.0,0,0,COMMIT,107423,1695093762607.969
103,1695093846162,1.059,0.0,0,0,COMMIT,107429,1695093846160.941
104,1695093875313,1.041,0.0,0,0,COMMIT,107421,1695093875311.959
105,1695093877410,1.099,0.0,0,0,COMMIT,107426,1695093877408.901
106,1695093949912,1.151,0.0,0,0,COMMIT,107434,1695093949910.849
107,1695094022011,1.259,0.0,0,0,COMMIT,107428,1695094022009.741
108,1695094032902,1.139,0.0,0,0,COMMIT,107427,1695094032900.861
109,1695094033402,1.259,0.0,0,0,COMMIT,107431,1695094033400.741
110,1695093184414,1.325,0.0,0,0,COMMIT,107439,1695093184412.675
111,1695093229361,1.304,0.0,0,0,COMMIT,107443,1695093229359.696
112,1695093258097,1.157,0.0,0,0,COMMIT,107444,1695093258095.843
116,1695093321883,1.077,0.0,0,0,COMMIT,107449,1695093321881.923
119,1695093382073,1.041,0.0,0,0,COMMIT,107452,1695093382071.959
120,1695093446768,1.037,0.0,0,0,COMMIT,107455,1695093446766.963
121,1695093541257,1.453,0.107,1,390,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 6\
              AND OL_O_ID < 29138\
              AND OL_O_ID >= 29118\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",107460,1695093541255.547
122,1695093579780,1.046,0.0,0,0,COMMIT,107451,1695093579778.954
123,1695093634073,1.033,0.0,0,0,COMMIT,107462,1695093634071.967
124,1695093727525,1.148,0.0,0,0,COMMIT,107465,1695093727523.852
125,1695093813410,1.811,0.0,0,0,COMMIT,107469,1695093813408.189
126,1695093906596,1.012,0.0,0,0,COMMIT,107472,1695093906594.988
127,1695094048918,1.12,0.0,0,0,COMMIT,107470,1695094048916.88
128,1695094110485,1.158,0.0,0,0,COMMIT,107479,1695094110483.842
129,1695094159798,1.192,0.0,0,0,COMMIT,107476,1695094159796.808
130,1695093227829,1.163,0.0,0,0,COMMIT,107484,1695093227827.837
131,1695093252086,1.05,0.0,0,0,COMMIT,107485,1695093252084.95
136,1695093382623,1.021,0.0,0,0,COMMIT,107478,1695093382621.979
137,1695093405783,1.141,0.0,0,0,COMMIT,107493,1695093405781.859
138,1695093574839,1.032,0.0,0,0,COMMIT,107489,1695093574837.968
139,1695093607246,1.266,0.0,0,0,ROLLBACK,107497,1695093607244.734
140,1695093884482,1.289,0.0,0,0,COMMIT,107510,1695093884480.711
141,1695093907633,1.134,0.0,0,0,COMMIT,107511,1695093907631.866
142,1695093278539,1.14,0.0,0,0,COMMIT,107522,1695093278537.86
147,1695093334174,1.097,0.0,0,0,COMMIT,107520,1695093334172.903
149,1695093406255,1.026,0.0,0,0,COMMIT,107528,1695093406253.974
150,1695093411130,1.103,0.0,0,0,COMMIT,107529,1695093411128.897
151,1695093468890,1.238,0.0,0,0,COMMIT,107532,1695093468888.762
152,1695093520311,1.009,0.0,0,0,COMMIT,107526,1695093520309.991
153,1695093529983,1.145,0.0,0,0,COMMIT,107530,1695093529981.855
154,1695093543642,1.216,0.0,0,0,COMMIT,107534,1695093543640.784
155,1695093556956,2.1,0.078,1,440,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 1\
              AND OL_O_ID < 29341\
              AND OL_O_ID >= 29321\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 17",107537,1695093556953.9
156,1695093781630,1.003,0.0,0,0,COMMIT,107541,1695093781628.997
157,1695093990186,2.4,0.161,1,402,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 6\
              AND OL_O_ID < 29129\
              AND OL_O_ID >= 29109\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",107550,1695093990183.6
158,1695094054625,1.012,0.0,0,0,COMMIT,107549,1695094054623.988
159,1695094107095,1.033,0.0,0,0,COMMIT,107548,1695094107093.967
160,1695094169970,1.009,0.0,0,0,COMMIT,107551,1695094169968.991
161,1695093226631,1.062,0.0,0,0,COMMIT,107556,1695093226629.938
162,1695093257074,1.492,0.0,0,0,COMMIT,107557,1695093257072.508
166,1695093331366,1.046,0.0,0,0,COMMIT,107553,1695093331364.954
168,1695093347701,1.242,0.0,0,0,COMMIT,107555,1695093347699.758
170,1695093373297,1.142,0.0,0,0,COMMIT,107560,1695093373295.858
171,1695093434883,1.132,0.0,0,0,COMMIT,107567,1695093434881.868
172,1695093438576,1.026,0.0,0,0,COMMIT,107558,1695093438574.974
173,1695093462471,1.016,0.0,0,0,COMMIT,107568,1695093462469.984
174,1695093520728,1.176,0.0,0,0,COMMIT,107563,1695093520726.824
175,1695093521367,1.732,0.0,0,0,COMMIT,107573,1695093521365.268
176,1695093527506,1.033,0.0,0,0,ROLLBACK,107566,1695093527504.967
177,1695093549603,2.652,0.0,0,0,COMMIT,107564,1695093549600.348
178,1695093553710,1.039,0.0,0,0,COMMIT,107570,1695093553708.961
179,1695093568419,1.731,0.105,1,460,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 8\
              AND OL_O_ID < 28885\
              AND OL_O_ID >= 28865\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 15",107577,1695093568417.269
180,1695093666366,1.277,0.0,0,0,COMMIT,107580,1695093666364.723
181,1695093687650,1.761,0.086,1,402,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 7\
              AND OL_O_ID < 29033\
              AND OL_O_ID >= 29013\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 18",107582,1695093687648.239
182,1695093730978,1.124,0.0,0,0,COMMIT,107584,1695093730976.876
183,1695093779972,1.084,0.0,0,0,COMMIT,107583,1695093779970.916
184,1695093844279,1.196,0.0,0,0,COMMIT,107588,1695093844277.804
185,1695093967820,1.031,0.0,0,0,COMMIT,107594,1695093967818.969
186,1695094014709,1.086,0.0,0,0,COMMIT,107592,1695094014707.914
187,1695094036742,1.023,0.0,0,0,COMMIT,107595,1695094036740.977
188,1695094059961,1.019,0.0,0,0,COMMIT,107598,1695094059959.981
189,1695094164467,1.122,0.073,1,342,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 2\
              AND OL_O_ID < 29160\
              AND OL_O_ID >= 29140\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 11",107604,1695094164465.878
190,1695093235984,3.363,0.0,0,0,COMMIT,107605,1695093235980.637
195,1695093410715,1.348,0.0,0,0,COMMIT,107613,1695093410713.652
196,1695093537180,1.025,0.0,0,0,COMMIT,107619,1695093537178.975
197,1695093584791,1.04,0.0,0,0,COMMIT,107620,1695093584789.96
198,1695093660756,1.003,0.0,0,0,COMMIT,107618,1695093660754.997
199,1695093720237,1.072,0.0,0,0,COMMIT,107622,1695093720235.928
200,1695093771676,1.293,0.106,1,460,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 8\
              AND OL_O_ID < 28885\
              AND OL_O_ID >= 28865\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 17",107627,1695093771674.707
201,1695094043495,1.137,0.0,0,0,COMMIT,107636,1695094043493.863
202,1695094058533,1.153,0.0,0,0,COMMIT,107631,1695094058531.847
203,1695094093463,1.178,0.0,0,0,COMMIT,107637,1695094093461.822
204,1695093265404,1.059,0.0,0,0,COMMIT,107647,1695093265402.941
206,1695093312047,1.216,0.097,1,410,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 3\
              AND OL_O_ID < 29281\
              AND OL_O_ID >= 29261\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 14",107649,1695093312045.784
210,1695093373077,1.1,0.0,0,0,COMMIT,107651,1695093373075.9
211,1695093455179,1.293,0.0,0,0,COMMIT,107638,1695093455177.707
212,1695093456107,1.324,0.0,0,0,COMMIT,107655,1695093456105.676
213,1695093476208,1.15,0.0,0,0,COMMIT,107648,1695093476206.85
214,1695093490649,1.014,0.0,0,0,COMMIT,107657,1695093490647.986
215,1695093529847,1.144,0.0,0,0,ROLLBACK,107654,1695093529845.856
216,1695093544290,1.284,0.0,0,0,COMMIT,107642,1695093544288.716
217,1695093545021,1.299,0.0,0,0,COMMIT,107659,1695093545019.701
218,1695093788219,1.007,0.0,0,0,COMMIT,107671,1695093788217.993
219,1695093888568,1.079,0.0,0,0,COMMIT,107660,1695093888566.921
220,1695094058308,1.015,0.0,0,0,COMMIT,107672,1695094058306.985
221,1695094098297,1.106,0.0,0,0,COMMIT,107667,1695094098295.894
222,1695094130577,1.627,0.079,1,424,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 2\
              AND OL_O_ID < 28955\
              AND OL_O_ID >= 28935\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 19",107683,1695094130575.373
223,1695093181284,1.057,0.0,0,0,COMMIT,107684,1695093181282.943
224,1695093266282,1.006,0.0,0,0,COMMIT,107678,1695093266280.994
228,1695093340197,1.106,0.0,0,0,COMMIT,107682,1695093340195.894
230,1695093365562,1.833,0.0,0,0,COMMIT,107690,1695093365560.167
231,1695093503811,1.063,0.0,0,0,COMMIT,107695,1695093503809.937
232,1695093697505,1.373,0.0,0,0,COMMIT,107700,1695093697503.627
233,1695093764758,1.969,0.09,1,382,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 10\
              AND OL_O_ID < 28907\
              AND OL_O_ID >= 28887\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 14",107704,1695093764756.031
234,1695093788835,1.105,0.0,0,0,COMMIT,107699,1695093788833.895
235,1695093861993,1.105,0.0,0,0,COMMIT,107701,1695093861991.895
236,1695093879543,1.38,0.087,1,410,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 9\
              AND OL_O_ID < 29014\
              AND OL_O_ID >= 28994\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 17",107709,1695093879541.62
237,1695093880377,1.009,0.0,0,0,COMMIT,107707,1695093880375.991
238,1695094043147,1.228,0.0,0,0,COMMIT,107708,1695094043145.772
239,1695094100296,1.218,0.0,0,0,COMMIT,107718,1695094100294.782
240,1695094107015,1.108,0.0,0,0,COMMIT,107710,1695094107013.892
241,1695093237540,2.024,0.105,1,404,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 4\
              AND OL_O_ID < 29039\
              AND OL_O_ID >= 29019\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 14",107725,1695093237537.976
242,1695093306829,1.086,0.0,0,0,COMMIT,107720,1695093306827.914
248,1695093413006,1.151,0.0,0,0,COMMIT,107716,1695093413004.849
249,1695093469612,1.017,0.0,0,0,COMMIT,107733,1695093469610.983
250,1695093515199,1.118,0.0,0,0,COMMIT,107734,1695093515197.882
251,1695093675770,1.84,0.0,0,0,COMMIT,107741,1695093675768.16
252,1695093704780,1.075,0.0,0,0,COMMIT,107730,1695093704778.925
253,1695093705603,1.686,0.0,0,0,COMMIT,107732,1695093705601.314
254,1695093748073,1.193,0.0,0,0,COMMIT,107737,1695093748071.807
255,1695093917770,1.008,0.0,0,0,COMMIT,107749,1695093917768.992
256,1695093929324,1.002,0.0,0,0,COMMIT,107735,1695093929322.998
257,1695093933471,1.091,0.0,0,0,COMMIT,107751,1695093933469.909
258,1695093974693,1.066,0.0,0,0,COMMIT,107748,1695093974691.934
259,1695094157631,1.702,0.083,1,382,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 10\
              AND OL_O_ID < 29421\
              AND OL_O_ID >= 29401\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 17",107760,1695094157629.298
260,1695093249025,1.216,0.0,0,0,COMMIT,107762,1695093249023.784
263,1695093315550,1.069,0.0,0,0,COMMIT,107759,1695093315548.931
267,1695093373503,1.233,0.073,1,438,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 2\
              AND OL_O_ID < 28956\
              AND OL_O_ID >= 28936\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 20",107768,1695093373501.767
268,1695093417682,1.455,0.0,0,0,COMMIT,107769,1695093417680.545
269,1695093462641,1.007,0.0,0,0,COMMIT,107770,1695093462639.993
270,1695093503159,1.104,0.0,0,0,COMMIT,107771,1695093503157.896
271,1695093512807,1.204,0.0,0,0,COMMIT,107767,1695093512805.796
272,1695093530471,1.101,0.0,0,0,COMMIT,107772,1695093530469.899
273,1695093634992,1.255,0.0,0,0,COMMIT,107773,1695093634990.745
274,1695093695001,1.106,0.0,0,0,COMMIT,107777,1695093694999.894
275,1695093746675,1.312,0.0,0,0,COMMIT,107779,1695093746673.688
276,1695093778520,1.302,0.0,0,0,COMMIT,107780,1695093778518.698
277,1695093837052,1.048,0.0,0,0,COMMIT,107782,1695093837050.952
278,1695093869647,1.04,0.0,0,0,COMMIT,107776,1695093869645.96
279,1695093903125,1.06,0.0,0,0,COMMIT,107778,1695093903123.94
280,1695093989415,1.045,0.0,0,0,COMMIT,107784,1695093989413.955
281,1695094016978,1.193,0.0,0,0,COMMIT,107785,1695094016976.807
282,1695094107867,1.181,0.0,0,0,COMMIT,107795,1695094107865.819
283,1695094155160,1.051,0.0,0,0,COMMIT,107790,1695094155158.949
284,1695093211054,1.283,0.0,0,0,COMMIT,107800,1695093211052.717
285,1695093222634,1.248,0.0,0,0,COMMIT,107791,1695093222632.752
286,1695093232680,1.029,0.0,0,0,COMMIT,107799,1695093232678.971
287,1695093258869,1.08,0.0,0,0,COMMIT,107801,1695093258867.92
291,1695093345617,1.034,0.0,0,0,COMMIT,107802,1695093345615.966
293,1695093413487,1.05,0.0,0,0,COMMIT,107808,1695093413485.95
294,1695093414258,1.74,0.0,0,0,COMMIT,107804,1695093414256.26
295,1695093534269,1.256,0.0,0,0,COMMIT,107809,1695093534267.744
296,1695093586229,1.064,0.0,0,0,COMMIT,107813,1695093586227.936
297,1695093594568,1.055,0.0,0,0,COMMIT,107811,1695093594566.945
298,1695093606810,1.122,0.0,0,0,COMMIT,107810,1695093606808.878
299,1695093635543,1.095,0.0,0,0,COMMIT,107816,1695093635541.905
300,1695093804669,1.184,0.0,0,0,COMMIT,107815,1695093804667.816
301,1695093854267,2.008,0.107,1,420,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 1\
              AND OL_O_ID < 29344\
              AND OL_O_ID >= 29324\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 18",107825,1695093854264.992
302,1695093869131,1.021,0.0,0,0,COMMIT,107824,1695093869129.979
303,1695093892101,1.444,0.0,0,0,COMMIT,107826,1695093892099.556
304,1695094089750,1.039,0.0,0,0,COMMIT,107827,1695094089748.961
305,1695094106654,1.13,0.0,0,0,COMMIT,107830,1695094106652.87
306,1695094172157,1.194,0.0,0,0,COMMIT,107838,1695094172155.806
307,1695093224995,1.049,0.0,0,0,COMMIT,107837,1695093224993.951
313,1695093396477,1.103,0.0,0,0,COMMIT,107839,1695093396475.897
314,1695093424166,2.159,0.095,1,414,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 5\
              AND OL_O_ID < 29428\
              AND OL_O_ID >= 29408\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 17",107850,1695093424163.841
315,1695093502581,1.181,0.0,0,0,COMMIT,107842,1695093502579.819
316,1695093628395,1.218,0.0,0,0,COMMIT,107846,1695093628393.782
317,1695093711320,1.177,0.0,0,0,COMMIT,107854,1695093711318.823
318,1695093737158,1.015,0.0,0,0,COMMIT,107852,1695093737156.985
319,1695093852128,1.078,0.0,0,0,COMMIT,107859,1695093852126.922
320,1695093868626,1.199,0.0,0,0,COMMIT,107864,1695093868624.801
321,1695093894794,1.108,0.0,0,0,COMMIT,107865,1695093894792.892
322,1695093922219,1.69,0.094,1,416,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 5\
              AND OL_O_ID < 29261\
              AND OL_O_ID >= 29241\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",107868,1695093922217.31
323,1695094008840,1.122,0.0,0,0,COMMIT,107863,1695094008838.878
324,1695094042928,1.155,0.0,0,0,COMMIT,107861,1695094042926.845
325,1695094059929,1.032,0.0,0,0,ROLLBACK,107871,1695094059927.968
326,1695093209488,1.072,0.0,0,0,COMMIT,107878,1695093209486.928
327,1695093250738,1.151,0.0,0,0,COMMIT,107873,1695093250736.849
331,1695093331842,1.46,0.0,0,0,COMMIT,107882,1695093331840.54
333,1695093497773,1.278,0.0,0,0,COMMIT,107887,1695093497771.722
334,1695093583033,1.48,0.094,1,366,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 4\
              AND OL_O_ID < 29469\
              AND OL_O_ID >= 29449\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",107892,1695093583031.52
335,1695093619392,1.003,0.0,0,0,COMMIT,107885,1695093619390.997
336,1695093631916,1.148,0.1,1,422,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 1\
              AND OL_O_ID < 29345\
              AND OL_O_ID >= 29325\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 19",107893,1695093631914.852
337,1695093632483,1.733,0.106,1,390,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 6\
              AND OL_O_ID < 29132\
              AND OL_O_ID >= 29112\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",107894,1695093632481.267
338,1695093750003,1.074,0.0,0,0,COMMIT,107896,1695093750001.926
339,1695093778618,1.024,0.0,0,0,COMMIT,107890,1695093778616.976
340,1695093800079,1.049,0.0,0,0,COMMIT,107886,1695093800077.951
341,1695093850792,1.171,0.0,0,0,COMMIT,107900,1695093850790.829
342,1695093871127,1.027,0.0,0,0,COMMIT,107897,1695093871125.973
343,1695094041292,1.142,0.0,0,0,COMMIT,107901,1695094041290.858
344,1695094067728,1.029,0.0,0,0,COMMIT,107898,1695094067726.971
345,1695094159972,1.153,0.0,0,0,COMMIT,107910,1695094159970.847
349,1695093482402,1.028,0.0,0,0,COMMIT,107916,1695093482400.972
350,1695093513307,1.028,0.0,0,0,COMMIT,107924,1695093513305.972
351,1695093545721,1.064,0.0,0,0,COMMIT,107925,1695093545719.936
352,1695093629071,1.154,0.0,0,0,COMMIT,107922,1695093629069.846
