,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
2,1694765955544,1.015,0.0,0,0,COMMIT,251766,1694765955542.985
3,1694766029227,1.642,0.091,1,392,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 9\
              AND OL_O_ID < 19570\
              AND OL_O_ID >= 19550\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 12",251769,1694766029225.358
4,1694766081339,1.479,0.0,0,0,COMMIT,251770,1694766081337.521
5,1694766102309,1.04,0.0,0,0,COMMIT,251767,1694766102307.96
6,1694766251475,1.061,0.0,0,0,COMMIT,251776,1694766251473.939
7,1694766322521,1.007,0.0,0,0,COMMIT,251778,1694766322519.993
8,1694766346079,2.324,0.113,1,432,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 4\
              AND OL_O_ID < 19906\
              AND OL_O_ID >= 19886\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 11",251781,1694766346076.676
9,1694766464185,1.543,0.109,1,370,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 3\
              AND OL_O_ID < 19930\
              AND OL_O_ID >= 19910\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 10",251786,1694766464183.457
14,1694765689255,3.623,0.0,0,0,COMMIT,251797,1694765689251.377
15,1694765709045,1.063,0.0,0,0,COMMIT,251792,1694765709043.937
16,1694765709106,1.704,0.079,1,338,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 4\
              AND OL_O_ID < 19496\
              AND OL_O_ID >= 19476\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 18",251799,1694765709104.296
17,1694765796554,1.017,0.0,0,0,COMMIT,251791,1694765796552.983
18,1694765870960,1.02,0.0,0,0,COMMIT,251803,1694765870958.98
19,1694765916660,1.394,0.0,0,0,COMMIT,251806,1694765916658.606
20,1694766001013,1.023,0.0,0,0,COMMIT,251808,1694766001011.977
21,1694766183648,1.086,0.0,0,0,COMMIT,251815,1694766183646.914
22,1694766268522,1.769,0.096,1,394,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 3\
              AND OL_O_ID < 19522\
              AND OL_O_ID >= 19502\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 20",251821,1694766268520.231
23,1694766276472,1.095,0.0,0,0,COMMIT,251820,1694766276470.905
24,1694766300603,1.435,0.082,1,378,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 5\
              AND OL_O_ID < 19714\
              AND OL_O_ID >= 19694\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 20",251823,1694766300601.565
25,1694765537002,1.095,0.0,0,0,COMMIT,251827,1694765537000.905
26,1694765584249,1.049,0.077,7,7,"SELECT OL_SUPPLY_W_ID, OL_I_ID, OL_QUANTITY, OL_AMOUNT, OL_DELIVERY_D FROM order_line WHERE OL_W_ID = 2 AND OL_D_ID = 1 AND OL_O_ID = 10219",251837,1694765584247.951
30,1694765640586,1.172,0.0,0,0,COMMIT,251838,1694765640584.828
32,1694765666594,1.166,0.0,0,0,COMMIT,251829,1694765666592.834
33,1694765792581,1.043,0.0,0,0,COMMIT,251839,1694765792579.957
34,1694765793276,1.306,0.0,0,0,COMMIT,251835,1694765793274.694
35,1694765907097,1.01,0.0,0,0,COMMIT,251836,1694765907095.99
36,1694765995154,1.163,0.0,0,0,COMMIT,251855,1694765995152.837
37,1694766003964,1.126,0.0,0,0,COMMIT,251856,1694766003962.874
38,1694766045805,1.083,0.0,0,0,COMMIT,251857,1694766045803.917
39,1694766241062,1.526,0.072,1,386,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 4\
              AND OL_O_ID < 19814\
              AND OL_O_ID >= 19794\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 12",251867,1694766241060.474
40,1694766345488,1.035,0.0,0,0,COMMIT,251861,1694766345486.965
41,1694766397029,1.067,0.0,0,0,COMMIT,251873,1694766397027.933
42,1694766445077,1.025,0.0,0,0,COMMIT,251876,1694766445075.975
43,1694765595489,1.017,0.0,0,0,COMMIT,251882,1694765595487.983
47,1694765654424,1.005,0.0,0,0,COMMIT,251883,1694765654422.995
49,1694765728854,1.217,0.0,0,0,COMMIT,251890,1694765728852.783
50,1694765752118,1.536,0.081,1,404,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 6\
              AND OL_O_ID < 19684\
              AND OL_O_ID >= 19664\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 10",251891,1694765752116.464
51,1694765783059,1.089,0.0,0,0,COMMIT,251881,1694765783057.911
52,1694765831925,1.06,0.0,0,0,COMMIT,251887,1694765831923.94
53,1694765989451,1.171,0.089,1,422,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 10\
              AND OL_O_ID < 19744\
              AND OL_O_ID >= 19724\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 17",251900,1694765989449.829
54,1694766036630,1.142,0.0,0,0,COMMIT,251897,1694766036628.858
55,1694766083016,1.102,0.0,0,0,COMMIT,251896,1694766083014.898
56,1694766121209,1.043,0.0,0,0,COMMIT,251904,1694766121207.957
57,1694766175198,1.202,0.0,0,0,COMMIT,251907,1694766175196.798
58,1694766209711,1.017,0.0,0,0,COMMIT,251908,1694766209709.983
59,1694766303541,1.089,0.0,0,0,COMMIT,251909,1694766303539.911
60,1694766347668,1.373,0.0,0,0,COMMIT,251913,1694766347666.627
61,1694766360628,1.659,0.055,1,1,"SELECT I_PRICE, I_NAME, I_DATA FROM item WHERE I_ID = 44374",251914,1694766360626.341
62,1694765602709,1.094,0.0,0,0,COMMIT,251917,1694765602707.906
63,1694765617517,2.566,0.075,0,0,"INSERT INTO orders (O_ID, O_D_ID, O_W_ID, O_C_ID, O_ENTRY_D, O_CARRIER_ID, O_OL_CNT, O_ALL_LOCAL) VALUES (19917, 5, 1, 1140, '2023-09-15 16:11:20.075798', 0, 14, 1)",251924,1694765617514.434
67,1694765758196,1.356,0.0,0,0,COMMIT,251928,1694765758194.644
68,1694765772087,1.087,0.0,0,0,COMMIT,251924,1694765772085.913
69,1694765820404,1.19,0.0,0,0,COMMIT,251936,1694765820402.81
70,1694765844480,1.964,0.088,1,408,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 7\
              AND OL_O_ID < 19946\
              AND OL_O_ID >= 19926\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 14",251938,1694765844478.036
71,1694765844655,2.341,0.0,0,0,COMMIT,251934,1694765844652.659
72,1694766001015,1.388,0.0,0,0,COMMIT,251944,1694766001013.612
73,1694766120163,1.089,0.09,1,354,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 4\
              AND OL_O_ID < 19727\
              AND OL_O_ID >= 19707\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 20",251950,1694766120161.911
74,1694766160883,1.26,0.0,0,0,COMMIT,251943,1694766160881.74
75,1694766181920,1.018,0.0,0,0,COMMIT,251953,1694766181918.982
76,1694766209120,1.05,0.0,0,0,COMMIT,251954,1694766209118.95
77,1694766244850,1.514,0.087,1,396,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 1\
              AND OL_O_ID < 19774\
              AND OL_O_ID >= 19754\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 11",251957,1694766244848.486
78,1694766272100,1.044,0.0,0,0,COMMIT,251952,1694766272098.956
79,1694766311981,1.13,0.0,0,0,COMMIT,251960,1694766311979.87
80,1694765541974,1.121,0.0,0,0,COMMIT,251970,1694765541972.879
85,1694765692703,1.1,0.0,0,0,COMMIT,251967,1694765692701.9
86,1694765697857,1.295,0.0,0,0,COMMIT,251969,1694765697855.705
87,1694765749731,1.553,0.0,0,0,COMMIT,251982,1694765749729.447
88,1694765956603,1.282,0.0,0,0,COMMIT,251992,1694765956601.718
89,1694766033550,1.061,0.0,0,0,COMMIT,251995,1694766033548.939
90,1694766034191,1.171,0.0,0,0,COMMIT,251985,1694766034189.829
91,1694766309764,1.009,0.0,0,0,COMMIT,252004,1694766309762.991
92,1694766402976,1.008,0.0,0,0,COMMIT,252002,1694766402974.992
93,1694765495064,1.17,0.088,1,354,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 5\
              AND OL_O_ID < 19719\
              AND OL_O_ID >= 19699\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 16",252016,1694765495062.83
94,1694765512907,1.031,0.0,0,0,COMMIT,252015,1694765512905.969
95,1694765526367,1.066,0.0,0,0,COMMIT,252010,1694765526365.934
96,1694765614907,1.081,0.0,0,0,COMMIT,252013,1694765614905.919
100,1694765669098,1.229,0.09,1,418,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 10\
              AND OL_O_ID < 19799\
              AND OL_O_ID >= 19779\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 16",252023,1694765669096.771
101,1694765720933,1.086,0.0,0,0,COMMIT,252018,1694765720931.914
102,1694765862959,1.022,0.0,0,0,COMMIT,252017,1694765862957.978
103,1694765981072,1.023,0.0,0,0,COMMIT,252029,1694765981070.977
104,1694765981773,1.542,0.0,0,0,COMMIT,252021,1694765981771.458
105,1694766011287,1.124,0.0,0,0,COMMIT,252024,1694766011285.876
106,1694766153113,1.003,0.0,0,0,COMMIT,252041,1694766153111.997
107,1694766370671,1.037,0.0,0,0,ROLLBACK,252043,1694766370669.963
108,1694766438354,1.156,0.0,0,0,COMMIT,252055,1694766438352.844
109,1694765538232,1.097,0.0,0,0,COMMIT,252056,1694765538230.903
110,1694765562741,1.025,0.0,0,0,COMMIT,252045,1694765562739.975
114,1694765637392,1.317,0.0,0,0,COMMIT,252068,1694765637390.683
116,1694765688020,1.026,0.0,0,0,COMMIT,252072,1694765688018.974
117,1694765747043,1.06,0.072,0,0,"INSERT INTO history VALUES (1892, 2, 4, 2, 4, '2023-09-15 16:11:23.092279', 609.82e0, 'XmJEHN    6qKRY9dT')",252066,1694765747041.94
118,1694766098780,1.089,0.0,0,0,COMMIT,252079,1694766098778.911
119,1694766167020,1.25,0.0,0,0,COMMIT,252091,1694766167018.75
120,1694766323721,1.07,0.0,0,0,ROLLBACK,252097,1694766323719.93
121,1694765562004,1.215,0.0,0,0,COMMIT,252089,1694765562002.785
122,1694765591037,1.135,0.0,0,0,COMMIT,252095,1694765591035.865
125,1694765647878,1.092,0.0,0,0,COMMIT,252098,1694765647876.908
128,1694765699740,1.071,0.0,0,0,COMMIT,252106,1694765699738.929
129,1694765787810,1.09,0.0,0,0,COMMIT,252105,1694765787808.91
130,1694765798003,1.003,0.0,0,0,COMMIT,252120,1694765798001.997
131,1694765818498,1.189,0.0,0,0,COMMIT,252107,1694765818496.811
132,1694765973430,1.119,0.0,0,0,COMMIT,252126,1694765973428.881
133,1694766085475,1.24,0.0,0,0,COMMIT,252132,1694766085473.76
134,1694766226344,1.149,0.0,0,0,COMMIT,252117,1694766226342.851
135,1694766232608,1.006,0.0,0,0,ROLLBACK,252136,1694766232606.994
136,1694766282029,1.084,0.0,0,0,COMMIT,252140,1694766282027.916
137,1694766396819,1.118,0.0,0,0,COMMIT,252138,1694766396817.882
138,1694766460217,1.232,0.0,0,0,COMMIT,252146,1694766460215.768
139,1694765552062,1.949,0.109,1,400,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 3\
              AND OL_O_ID < 19642\
              AND OL_O_ID >= 19622\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 11",252153,1694765552060.051
140,1694765584619,1.038,0.0,0,0,ROLLBACK,252129,1694765584617.962
141,1694765595271,1.004,0.0,0,0,COMMIT,252100,1694765595269.996
145,1694765749115,1.063,0.0,0,0,COMMIT,252151,1694765749113.937
146,1694765848698,1.063,0.0,0,0,COMMIT,252156,1694765848696.937
147,1694765896898,1.017,0.0,0,0,COMMIT,252149,1694765896896.983
148,1694765903652,1.071,0.0,0,0,ROLLBACK,252162,1694765903650.929
149,1694765984677,1.516,0.087,1,420,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 7\
              AND OL_O_ID < 19903\
              AND OL_O_ID >= 19883\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 15",252174,1694765984675.484
150,1694765990302,1.047,0.0,0,0,COMMIT,252155,1694765990300.953
151,1694766046716,1.433,0.0,0,0,COMMIT,252175,1694766046714.567
152,1694766135770,1.015,0.0,0,0,COMMIT,252179,1694766135768.985
153,1694766269976,1.142,0.0,0,0,COMMIT,252177,1694766269974.858
154,1694766351498,1.231,0.0,0,0,COMMIT,252150,1694766351496.769
155,1694766404310,1.406,0.0,0,0,COMMIT,252161,1694766404308.594
156,1694766456877,1.01,0.0,0,0,COMMIT,252192,1694766456875.99
157,1694765535304,1.025,0.0,0,0,COMMIT,252186,1694765535302.975
158,1694765556800,1.187,0.0,0,0,COMMIT,252157,1694765556798.813
159,1694765570499,8.747,0.0,0,0,COMMIT,252172,1694765570490.253
160,1694765572836,2.359,0.0,0,0,ROLLBACK,252194,1694765572833.641
161,1694765574840,1.273,0.0,0,0,COMMIT,252184,1694765574838.727
162,1694765611989,1.186,0.0,0,0,COMMIT,252185,1694765611987.814
167,1694765796655,1.073,0.0,0,0,COMMIT,252195,1694765796653.927
168,1694765808109,1.154,0.0,0,0,COMMIT,252180,1694765808107.846
169,1694765926738,1.191,0.0,0,0,COMMIT,252197,1694765926736.809
170,1694765999513,1.28,0.0,0,0,COMMIT,252123,1694765999511.72
171,1694766027088,1.023,0.0,0,0,COMMIT,252217,1694766027086.977
172,1694766064219,1.112,0.0,0,0,COMMIT,252208,1694766064217.888
173,1694766152642,1.316,0.0,0,0,COMMIT,252205,1694766152640.684
174,1694766187698,1.04,0.0,0,0,COMMIT,252226,1694766187696.96
175,1694766233568,1.095,0.0,0,0,COMMIT,252228,1694766233566.905
176,1694766249165,1.162,0.0,0,0,COMMIT,252230,1694766249163.838
177,1694765492194,1.029,0.0,0,0,COMMIT,252239,1694765492192.971
178,1694765535862,1.009,0.0,0,0,COMMIT,252235,1694765535860.991
183,1694765745552,1.18,0.0,0,0,COMMIT,252240,1694765745550.82
184,1694765804154,1.328,0.079,1,366,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 1\
              AND OL_O_ID < 19782\
              AND OL_O_ID >= 19762\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 12",252255,1694765804152.672
185,1694765817148,1.07,0.0,0,0,COMMIT,252253,1694765817146.93
186,1694765937149,1.61,0.148,1,402,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 2\
              AND OL_O_ID < 19888\
              AND OL_O_ID >= 19868\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 11",252259,1694765937147.39
187,1694766161618,1.047,0.0,0,0,COMMIT,252256,1694766161616.953
188,1694766170787,1.023,0.0,0,0,COMMIT,252249,1694766170785.977
189,1694766171485,1.708,0.0,0,0,COMMIT,252258,1694766171483.292
190,1694766194850,1.151,0.0,0,0,COMMIT,252236,1694766194848.849
191,1694766397744,1.154,0.0,0,0,COMMIT,252273,1694766397742.846
192,1694766469648,1.033,0.0,0,0,COMMIT,252264,1694766469646.967
193,1694765507273,1.083,0.0,0,0,COMMIT,252227,1694765507271.917
194,1694765557141,1.033,0.0,0,0,COMMIT,252250,1694765557139.967
195,1694765585645,1.08,0.0,0,0,COMMIT,252281,1694765585643.92
200,1694765695227,1.087,0.0,0,0,COMMIT,252272,1694765695225.913
201,1694765759230,1.22,0.0,0,0,COMMIT,252265,1694765759228.78
202,1694765816629,1.02,0.0,0,0,COMMIT,252262,1694765816627.98
203,1694765921426,1.304,0.075,1,388,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 3\
              AND OL_O_ID < 19932\
              AND OL_O_ID >= 19912\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 10",252297,1694765921424.696
204,1694765998182,1.13,0.0,0,0,COMMIT,252299,1694765998180.87
205,1694766073697,1.16,0.0,0,0,COMMIT,252278,1694766073695.84
206,1694766160497,1.026,0.0,0,0,COMMIT,252285,1694766160495.974
207,1694766176290,1.287,0.075,1,362,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 3\
              AND OL_O_ID < 19527\
              AND OL_O_ID >= 19507\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 16",252307,1694766176288.713
208,1694766320542,1.302,0.0,0,0,COMMIT,252308,1694766320540.698
209,1694765505551,1.018,0.0,0,0,COMMIT,252313,1694765505549.982
210,1694765556079,1.107,0.0,0,0,COMMIT,252326,1694765556077.893
211,1694765655467,1.064,0.0,0,0,COMMIT,252331,1694765655465.936
216,1694765691510,1.033,0.0,0,0,COMMIT,252320,1694765691508.967
217,1694765691933,1.406,0.091,1,402,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 9\
              AND OL_O_ID < 19772\
              AND OL_O_ID >= 19752\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 12",252323,1694765691931.594
218,1694765718990,1.216,0.0,0,0,COMMIT,252330,1694765718988.784
219,1694765789585,1.247,0.0,0,0,COMMIT,252333,1694765789583.753
220,1694765847983,1.254,0.0,0,0,COMMIT,252321,1694765847981.746
221,1694765878850,1.118,0.0,0,0,COMMIT,252316,1694765878848.882
222,1694766071401,1.137,0.0,0,0,COMMIT,252352,1694766071399.863
223,1694766111368,1.104,0.0,0,0,COMMIT,252322,1694766111366.896
224,1694766132318,1.082,0.0,0,0,COMMIT,252295,1694766132316.918
225,1694766136072,1.102,0.0,0,0,COMMIT,252314,1694766136070.898
226,1694766162361,1.111,0.0,0,0,COMMIT,252292,1694766162359.889
227,1694766271421,1.196,0.0,0,0,COMMIT,252337,1694766271419.804
228,1694766281722,1.762,0.097,1,376,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 9\
              AND OL_O_ID < 19686\
              AND OL_O_ID >= 19666\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 16",252362,1694766281720.238
229,1694766321705,1.218,0.0,0,0,COMMIT,252342,1694766321703.782
230,1694765559649,1.496,0.0,0,0,COMMIT,252371,1694765559647.504
231,1694765569630,1.056,0.0,0,0,COMMIT,252346,1694765569628.944
232,1694765571878,1.76,0.139,1,436,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 7\
              AND OL_O_ID < 19953\
              AND OL_O_ID >= 19933\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 17",252373,1694765571876.24
233,1694765633883,1.206,0.0,0,0,COMMIT,252339,1694765633881.794
234,1694765685508,1.05,0.0,0,0,COMMIT,252375,1694765685506.95
235,1694765792470,1.232,0.0,0,0,COMMIT,252349,1694765792468.768
236,1694765813760,1.461,0.0,0,0,COMMIT,252341,1694765813758.539
237,1694765814548,1.994,0.0,0,0,COMMIT,252382,1694765814546.006
238,1694765815270,1.364,0.0,0,0,COMMIT,252378,1694765815268.636
239,1694765832224,1.031,0.0,0,0,COMMIT,252359,1694765832222.969
240,1694765944823,1.429,0.085,1,398,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 5\
              AND OL_O_ID < 19716\
              AND OL_O_ID >= 19696\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",252387,1694765944821.571
241,1694765990949,1.096,0.0,0,0,COMMIT,252380,1694765990947.904
244,1694766121536,1.029,0.0,0,0,COMMIT,252398,1694766121534.971
247,1694766189883,1.315,0.0,0,0,COMMIT,252376,1694766189881.685
248,1694766222663,1.024,0.0,0,0,COMMIT,252402,1694766222661.976
249,1694766362371,1.088,0.0,0,0,COMMIT,252372,1694766362369.912
250,1694765535485,1.216,0.0,0,0,COMMIT,252406,1694765535483.784
251,1694765562141,1.103,0.0,0,0,COMMIT,252408,1694765562139.897
253,1694765647052,1.195,0.081,1,380,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 1\
              AND OL_O_ID < 19785\
              AND OL_O_ID >= 19765\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 17",252419,1694765647050.805
256,1694765663742,1.348,0.0,0,0,COMMIT,252395,1694765663740.652
258,1694765743111,1.291,0.0,0,0,COMMIT,252418,1694765743109.709
259,1694765757889,1.143,0.0,0,0,COMMIT,252407,1694765757887.857
260,1694765768260,2.15,0.0,0,0,COMMIT,252416,1694765768257.85
261,1694765828808,1.23,0.0,0,0,COMMIT,252421,1694765828806.77
262,1694765847781,1.358,0.0,0,0,COMMIT,252417,1694765847779.642
263,1694765860466,1.013,0.0,0,0,COMMIT,252426,1694765860464.987
264,1694765925945,1.286,0.0,0,0,COMMIT,252430,1694765925943.714
265,1694765965746,1.069,0.0,0,0,COMMIT,252423,1694765965744.931
266,1694766006277,1.427,0.0,0,0,COMMIT,252425,1694766006275.573
267,1694766180026,1.251,0.0,0,0,COMMIT,252388,1694766180024.749
268,1694766227480,1.269,0.0,0,0,COMMIT,252409,1694766227478.731
269,1694766237506,1.113,0.0,0,0,COMMIT,252412,1694766237504.887
270,1694766332571,1.362,0.0,0,0,COMMIT,252450,1694766332569.638
271,1694766361578,1.208,0.0,0,0,COMMIT,252432,1694766361576.792
272,1694766364992,1.089,0.0,0,0,COMMIT,252439,1694766364990.911
273,1694766460794,1.26,0.0,0,0,COMMIT,252433,1694766460792.74
274,1694766473885,1.114,0.0,0,0,COMMIT,252410,1694766473883.886
275,1694765578139,1.088,0.0,0,0,COMMIT,252444,1694765578137.912
276,1694765600739,1.073,0.0,0,0,COMMIT,252453,1694765600737.927
277,1694765606748,1.009,0.0,0,0,COMMIT,252438,1694765606746.991
278,1694765613083,1.098,0.0,0,0,COMMIT,252437,1694765613081.902
279,1694765631563,1.286,0.0,0,0,COMMIT,252445,1694765631561.714
280,1694765639877,1.04,0.0,0,0,COMMIT,252458,1694765639875.96
283,1694765654950,1.118,0.0,0,0,COMMIT,252449,1694765654948.882
286,1694765708178,1.114,0.0,0,0,COMMIT,252440,1694765708176.886
287,1694765719697,1.139,0.0,0,0,COMMIT,252454,1694765719695.861
288,1694765859382,1.306,0.0,0,0,COMMIT,252459,1694765859380.694
289,1694765906548,1.238,0.0,0,0,COMMIT,252457,1694765906546.762
290,1694765931947,1.217,0.0,0,0,COMMIT,252427,1694765931945.783
291,1694765981980,1.347,0.0,0,0,COMMIT,252463,1694765981978.653
292,1694766005267,1.079,0.0,0,0,COMMIT,252443,1694766005265.921
293,1694766088101,1.351,0.0,0,0,COMMIT,252415,1694766088099.649
294,1694766105521,1.243,0.0,0,0,COMMIT,252460,1694766105519.757
295,1694766117347,1.033,0.0,0,0,ROLLBACK,252461,1694766117345.967
296,1694766154388,1.065,0.0,0,0,COMMIT,252451,1694766154386.935
297,1694766316433,1.271,0.0,0,0,COMMIT,252473,1694766316431.729
298,1694766344785,1.031,0.0,0,0,COMMIT,252479,1694766344783.969
299,1694766373461,1.127,0.0,0,0,COMMIT,252472,1694766373459.873
300,1694766385696,1.154,0.0,0,0,COMMIT,252480,1694766385694.846
301,1694766401378,1.65,0.111,1,414,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 6\
              AND OL_O_ID < 19621\
              AND OL_O_ID >= 19601\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",252500,1694766401376.35
302,1694766405588,1.11,0.0,0,0,COMMIT,252482,1694766405586.89
303,1694766448244,1.687,0.096,1,394,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 8\
              AND OL_O_ID < 19557\
              AND OL_O_ID >= 19537\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",252505,1694766448242.313
304,1694765550413,1.163,0.0,0,0,COMMIT,252497,1694765550411.837
305,1694765579764,1.071,0.0,0,0,COMMIT,252475,1694765579762.929
306,1694765602052,1.247,0.0,0,0,COMMIT,252483,1694765602050.753
307,1694765609183,2.185,0.113,1,442,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 2\
              AND OL_O_ID < 19542\
              AND OL_O_ID >= 19522\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 15",252514,1694765609180.815
308,1694765622623,1.068,0.0,0,0,COMMIT,252462,1694765622621.932
315,1694765744066,1.26,0.0,0,0,COMMIT,252494,1694765744064.74
316,1694765850635,1.147,0.0,0,0,COMMIT,252487,1694765850633.853
317,1694765978375,1.636,0.094,1,378,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 4\
              AND OL_O_ID < 19823\
              AND OL_O_ID >= 19803\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 18",252532,1694765978373.364
318,1694765998556,1.041,0.0,0,0,COMMIT,252456,1694765998554.959
319,1694766066648,1.243,0.0,0,0,COMMIT,252525,1694766066646.757
320,1694766099386,1.368,0.0,0,0,COMMIT,252495,1694766099384.632
321,1694766221124,1.172,0.0,0,0,COMMIT,252496,1694766221122.828
322,1694766305299,1.057,0.0,0,0,COMMIT,252529,1694766305297.943
323,1694766379727,1.076,0.0,0,0,COMMIT,252528,1694766379725.924
